,Vocab,Word
497,stor,10598
498,herlighedhan,4370
499,ville,12520
500,opstige,8096
501,begravet,481
502,lå,6773
503,frydes,3198
504,dage,1409
505,søndagssolen,11179
506,mage,6945
507,der,1570
508,sad,8967
509,engel,2175
510,stenblandt,10472
511,liljer,6456
512,urtehaven,12148
513,peged,8238
514,palmegren,8188
515,hvor,4778
516,jorderiglig,5259
517,glæden,3707
518,engles,2194
519,livskongen,6508
520,løfter,6884
521,sigtil,9302
522,børnevrimmel,1334
523,holde,4602
524,engle,2183
525,bønmed,1325
526,jubel,5279
527,glans,3638
528,gennem,3567
529,himmelporte,4461
530,engels,2177
531,strålekrans,10706
532,flygter,2661
533,nattens,7609
534,skygger,9699
535,sorte,10215
536,øje,13209
537,se,9145
538,herres,4390
539,sendebud,9218
540,skyer,9687
541,englen,2190
542,spreder,10312
543,glansen,3639
544,kåbes,6091
545,stråleflor,10703
546,favner,2436
547,alverdens,190
548,glade,3629
549,vrimmel,12722
550,ind,5095
551,slot,9852
552,vrå,12724
553,drot,1771
554,tigger,11385
555,store,10604
556,vuggen,12735
557,også,7962
558,favne,2432
559,smiler,9949
560,glemmer,3665
561,solglimt,10085
562,nær,7880
563,fornemmer,2870
564,vågne,12780
565,flyve,2674
566,reden,8598
567,formå,2863
568,fløjtende,2693
569,kvidrer,6019
570,svalen,10895
571,kirketagog,5514
572,spurven,10340
573,menneskers,7130
574,huse,4693
575,synge,11039
576,godmorgen,3755
577,goddag,3746
578,fred,3040
579,ske,9466
580,luften,6587
581,hensuse,4344
582,småfuglenes,9981
583,sang,9084
584,forstår,2924
585,fattiges,2422
586,lovsang,6570
587,ikke,5059
588,forsmår,2906
589,målløse,7471
590,skabninger,9416
591,sige,9281
592,hører,5001
593,fuglene,3242
594,flagre,2587
595,rederne,8602
596,småbørnenes,9976
597,jublende,5286
598,dejligt,1539
599,sov,10223
600,varme,12288
601,kind,5488
602,puden,8462
603,rask,8572
604,fisk,2531
605,morgensolen,7350
606,titter,11460
607,ruden,8803
608,hin,4477
609,skykom,9707
610,by,1178
611,kom,5719
612,glimt,3681
613,sjæle,9381
614,haner,4157
615,hilsed,4420
616,vævre,12892
617,tunger,11749
